territory,price,price_point_id
IRQ,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJJUlEiLCJwIjoiMTAyNzcifQ
ISL,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJJU0wiLCJwIjoiMTAzMjcifQ
ISR,149.9,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJJU1IiLCJwIjoiMTAzNTQifQ
ITA,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJJVEEiLCJwIjoiMTAzMDIifQ
JAM,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJKQU0iLCJwIjoiMTAyNzcifQ
JOR,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJKT1IiLCJwIjoiMTAyNzcifQ
JPN,6000,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJKUE4iLCJwIjoiMTAzMTYifQ
KAZ,22990.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJLQVoiLCJwIjoiMTA0MzAifQ
KEN,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJLRU4iLCJwIjoiMTAzMjcifQ
KGZ,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJLR1oiLCJwIjoiMTAyNzcifQ
KHM,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJLSE0iLCJwIjoiMTAyNzcifQ
KNA,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJLTkEiLCJwIjoiMTAyNzcifQ
KOR,66000,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJLT1IiLCJwIjoiMTAzNDYifQ
KWT,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJLV1QiLCJwIjoiMTAyNzcifQ
LAO,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMQU8iLCJwIjoiMTAyNzcifQ
LBN,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMQk4iLCJwIjoiMTAyNzcifQ
LBR,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMQlIiLCJwIjoiMTAyNzcifQ
LBY,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMQlkiLCJwIjoiMTAyNzcifQ
LCA,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMQ0EiLCJwIjoiMTAyNzcifQ
LKA,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMS0EiLCJwIjoiMTAyNzcifQ
LTU,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMVFUiLCJwIjoiMTAzMDIifQ
LUX,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMVVgiLCJwIjoiMTAzMDIifQ
LVA,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJMVkEiLCJwIjoiMTAzMDIifQ
MAC,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNQUMiLCJwIjoiMTAyNzcifQ
MAR,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNQVIiLCJwIjoiMTAyNzcifQ
MDA,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNREEiLCJwIjoiMTAzMjcifQ
MDG,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNREciLCJwIjoiMTAyNzcifQ
MDV,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNRFYiLCJwIjoiMTAyNzcifQ
MEX,899.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNRVgiLCJwIjoiMTAzNjkifQ
MKD,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNS0QiLCJwIjoiMTAyNzcifQ
MLI,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNTEkiLCJwIjoiMTAyNzcifQ
MLT,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNTFQiLCJwIjoiMTAzMDIifQ
MMR,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNTVIiLCJwIjoiMTAyNzcifQ
MNE,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNTkUiLCJwIjoiMTAyNzcifQ
MNG,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNTkciLCJwIjoiMTAyNzcifQ
MOZ,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNT1oiLCJwIjoiMTAyNzcifQ
MRT,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNUlQiLCJwIjoiMTAyNzcifQ
MSR,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNU1IiLCJwIjoiMTAyNzcifQ
MUS,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNVVMiLCJwIjoiMTAzMjcifQ
MWI,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNV0kiLCJwIjoiMTAyNzcifQ
MYS,199.9,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJNWVMiLCJwIjoiMTAzNzIifQ
NAM,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJOQU0iLCJwIjoiMTAyNzcifQ
NER,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJORVIiLCJwIjoiMTAyNzcifQ
NGA,69900.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJOR0EiLCJwIjoiMTA1MDEifQ
NIC,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJOSUMiLCJwIjoiMTAyNzcifQ
NLD,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJOTEQiLCJwIjoiMTAzMDIifQ
NOR,499.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJOT1IiLCJwIjoiMTAyMTcifQ
NPL,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJOUEwiLCJwIjoiMTAzMjcifQ
NRU,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJOUlUiLCJwIjoiMTAyNzcifQ
NZL,69.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJOWkwiLCJwIjoiMTA0MDYifQ
OMN,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJPTU4iLCJwIjoiMTAyNzcifQ
PAK,9900.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQQUsiLCJwIjoiMTA0MTMifQ
PAN,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQQU4iLCJwIjoiMTAyNzcifQ
PER,179.9,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQRVIiLCJwIjoiMTAzOTgifQ
PHL,2490.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQSEwiLCJwIjoiMTAzNjYifQ
PLW,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQTFciLCJwIjoiMTAyNzcifQ
PNG,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQTkciLCJwIjoiMTAyNzcifQ
POL,199.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQT0wiLCJwIjoiMTAzODgifQ
PRT,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQUlQiLCJwIjoiMTAzMDIifQ
PRY,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJQUlkiLCJwIjoiMTAyNzcifQ
QAT,149.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJRQVQiLCJwIjoiMTAzNDQifQ
ROU,199.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJST1UiLCJwIjoiMTAzODgifQ
RUS,3490.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJSVVMiLCJwIjoiMTA0MDYifQ
RWA,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJSV0EiLCJwIjoiMTAyNzcifQ
SAU,179.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTQVUiLCJwIjoiMTAzNzgifQ
SEN,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTRU4iLCJwIjoiMTAzMjcifQ
SGP,59.98,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTR1AiLCJwIjoiMTAzNjkifQ
SLB,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTTEIiLCJwIjoiMTAyNzcifQ
SLE,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTTEUiLCJwIjoiMTAyNzcifQ
SLV,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTTFYiLCJwIjoiMTAyNzcifQ
SRB,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTUkIiLCJwIjoiMTAzMDIifQ
STP,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTVFAiLCJwIjoiMTAyNzcifQ
SUR,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTVVIiLCJwIjoiMTAyNzcifQ
SVK,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTVksiLCJwIjoiMTAzMDIifQ
SVN,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTVk4iLCJwIjoiMTAzMDIifQ
SWE,499.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTV0UiLCJwIjoiMTAyMTcifQ
SWZ,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTV1oiLCJwIjoiMTAyNzcifQ
SYC,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJTWUMiLCJwIjoiMTAyNzcifQ
TCA,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUQ0EiLCJwIjoiMTAyNzcifQ
TCD,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUQ0QiLCJwIjoiMTAyNzcifQ
THA,1490.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUSEEiLCJwIjoiMTAzMDAifQ
TJK,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUSksiLCJwIjoiMTAyNzcifQ
TKM,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUS00iLCJwIjoiMTAyNzcifQ
TON,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUT04iLCJwIjoiMTAyNzcifQ
TTO,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUVE8iLCJwIjoiMTAyNzcifQ
TUN,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUVU4iLCJwIjoiMTAyNzcifQ
TUR,1999.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUVVIiLCJwIjoiMTA1NDYifQ
TWN,1290,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUV04iLCJwIjoiMTAyMjkifQ
TZA,99900.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJUWkEiLCJwIjoiMTAzMTUifQ
UGA,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJVR0EiLCJwIjoiMTAzMjcifQ
UKR,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJVS1IiLCJwIjoiMTAzMjcifQ
URY,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJVUlkiLCJwIjoiMTAyNzcifQ
USA,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJVU0EiLCJwIjoiMTAyNzcifQ
UZB,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJVWkIiLCJwIjoiMTAyNzcifQ
VCT,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJWQ1QiLCJwIjoiMTAyNzcifQ
VEN,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJWRU4iLCJwIjoiMTAyNzcifQ
VGB,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJWR0IiLCJwIjoiMTAyNzcifQ
VNM,1199000,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJWTk0iLCJwIjoiMTAzOTAifQ
VUT,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJWVVQiLCJwIjoiMTAyNzcifQ
XKS,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJYS1MiLCJwIjoiMTAzMDIifQ
YEM,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJZRU0iLCJwIjoiMTAyNzcifQ
ZAF,799.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJaQUYiLCJwIjoiMTAzMjAifQ
ZMB,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJaTUIiLCJwIjoiMTAzMjcifQ
ZWE,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJaV0UiLCJwIjoiMTAzMjcifQ
