territory,price,price_point_id
IND,3999.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJJTkQiLCJwIjoiMTAzNTgifQ
IRL,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJJUkwiLCJwIjoiMTAzMDIifQ
IRQ,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJJUlEiLCJwIjoiMTAyNzcifQ
ISL,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJJU0wiLCJwIjoiMTAzMjcifQ
ISR,149.9,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJJU1IiLCJwIjoiMTAzNTQifQ
ITA,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJJVEEiLCJwIjoiMTAzMDIifQ
JAM,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJKQU0iLCJwIjoiMTAyNzcifQ
JOR,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJKT1IiLCJwIjoiMTAyNzcifQ
JPN,6000,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJKUE4iLCJwIjoiMTAzMTYifQ
KAZ,22990.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJLQVoiLCJwIjoiMTA0MzAifQ
KEN,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJLRU4iLCJwIjoiMTAzMjcifQ
KGZ,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJLR1oiLCJwIjoiMTAyNzcifQ
KHM,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJLSE0iLCJwIjoiMTAyNzcifQ
KNA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJLTkEiLCJwIjoiMTAyNzcifQ
KOR,66000,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJLT1IiLCJwIjoiMTAzNDYifQ
KWT,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJLV1QiLCJwIjoiMTAyNzcifQ
LAO,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMQU8iLCJwIjoiMTAyNzcifQ
LBN,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMQk4iLCJwIjoiMTAyNzcifQ
LBR,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMQlIiLCJwIjoiMTAyNzcifQ
LBY,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMQlkiLCJwIjoiMTAyNzcifQ
LCA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMQ0EiLCJwIjoiMTAyNzcifQ
LKA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMS0EiLCJwIjoiMTAyNzcifQ
LTU,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMVFUiLCJwIjoiMTAzMDIifQ
LUX,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMVVgiLCJwIjoiMTAzMDIifQ
LVA,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJMVkEiLCJwIjoiMTAzMDIifQ
MAC,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNQUMiLCJwIjoiMTAyNzcifQ
MAR,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNQVIiLCJwIjoiMTAyNzcifQ
MDA,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNREEiLCJwIjoiMTAzMjcifQ
MDG,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNREciLCJwIjoiMTAyNzcifQ
MDV,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNRFYiLCJwIjoiMTAyNzcifQ
MEX,899.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNRVgiLCJwIjoiMTAzNjkifQ
MKD,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNS0QiLCJwIjoiMTAyNzcifQ
MLI,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNTEkiLCJwIjoiMTAyNzcifQ
MLT,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNTFQiLCJwIjoiMTAzMDIifQ
MMR,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNTVIiLCJwIjoiMTAyNzcifQ
MNE,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNTkUiLCJwIjoiMTAyNzcifQ
MNG,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNTkciLCJwIjoiMTAyNzcifQ
MOZ,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNT1oiLCJwIjoiMTAyNzcifQ
MRT,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNUlQiLCJwIjoiMTAyNzcifQ
MSR,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNU1IiLCJwIjoiMTAyNzcifQ
MUS,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNVVMiLCJwIjoiMTAzMjcifQ
MWI,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNV0kiLCJwIjoiMTAyNzcifQ
MYS,199.9,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJNWVMiLCJwIjoiMTAzNzIifQ
NAM,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJOQU0iLCJwIjoiMTAyNzcifQ
NER,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJORVIiLCJwIjoiMTAyNzcifQ
NGA,69900.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJOR0EiLCJwIjoiMTA1MDEifQ
NIC,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJOSUMiLCJwIjoiMTAyNzcifQ
NLD,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJOTEQiLCJwIjoiMTAzMDIifQ
NOR,499.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJOT1IiLCJwIjoiMTAyMTcifQ
NPL,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJOUEwiLCJwIjoiMTAzMjcifQ
NRU,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJOUlUiLCJwIjoiMTAyNzcifQ
NZL,69.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJOWkwiLCJwIjoiMTA0MDYifQ
OMN,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJPTU4iLCJwIjoiMTAyNzcifQ
PAK,9900.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQQUsiLCJwIjoiMTA0MTMifQ
PAN,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQQU4iLCJwIjoiMTAyNzcifQ
PER,179.9,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQRVIiLCJwIjoiMTAzOTgifQ
PHL,2490.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQSEwiLCJwIjoiMTAzNjYifQ
PLW,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQTFciLCJwIjoiMTAyNzcifQ
PNG,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQTkciLCJwIjoiMTAyNzcifQ
POL,199.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQT0wiLCJwIjoiMTAzODgifQ
PRT,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQUlQiLCJwIjoiMTAzMDIifQ
PRY,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJQUlkiLCJwIjoiMTAyNzcifQ
QAT,149.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJRQVQiLCJwIjoiMTAzNDQifQ
ROU,199.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJST1UiLCJwIjoiMTAzODgifQ
RUS,3490.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJSVVMiLCJwIjoiMTA0MDYifQ
RWA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJSV0EiLCJwIjoiMTAyNzcifQ
SAU,179.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTQVUiLCJwIjoiMTAzNzgifQ
SEN,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTRU4iLCJwIjoiMTAzMjcifQ
SGP,59.98,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTR1AiLCJwIjoiMTAzNjkifQ
SLB,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTTEIiLCJwIjoiMTAyNzcifQ
SLE,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTTEUiLCJwIjoiMTAyNzcifQ
SLV,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTTFYiLCJwIjoiMTAyNzcifQ
SRB,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTUkIiLCJwIjoiMTAzMDIifQ
STP,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTVFAiLCJwIjoiMTAyNzcifQ
SUR,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTVVIiLCJwIjoiMTAyNzcifQ
SVK,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTVksiLCJwIjoiMTAzMDIifQ
SVN,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTVk4iLCJwIjoiMTAzMDIifQ
SWE,499.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTV0UiLCJwIjoiMTAyMTcifQ
SWZ,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTV1oiLCJwIjoiMTAyNzcifQ
SYC,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJTWUMiLCJwIjoiMTAyNzcifQ
TCA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUQ0EiLCJwIjoiMTAyNzcifQ
TCD,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUQ0QiLCJwIjoiMTAyNzcifQ
