territory,price,price_point_id
KNA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJLTkEiLCJwIjoiMTAwNzUifQ
KOR,9900,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJLT1IiLCJwIjoiMTAxMDUifQ
KWT,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJLV1QiLCJwIjoiMTAwNzUifQ
LAO,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMQU8iLCJwIjoiMTAwODgifQ
LBN,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMQk4iLCJwIjoiMTAwNzUifQ
LBR,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMQlIiLCJwIjoiMTAwNzUifQ
LBY,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMQlkiLCJwIjoiMTAwNzUifQ
LCA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMQ0EiLCJwIjoiMTAwNzUifQ
LKA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMS0EiLCJwIjoiMTAwNzUifQ
LTU,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMVFUiLCJwIjoiMTAwODgifQ
LUX,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMVVgiLCJwIjoiMTAwODgifQ
LVA,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJMVkEiLCJwIjoiMTAwODgifQ
MAC,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNQUMiLCJwIjoiMTAwNzUifQ
MAR,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNQVIiLCJwIjoiMTAwNzUifQ
MDA,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNREEiLCJwIjoiMTAwODgifQ
MDG,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNREciLCJwIjoiMTAwNzUifQ
MDV,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNRFYiLCJwIjoiMTAwNzUifQ
MEX,129.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNRVgiLCJwIjoiMTAxMjUifQ
MKD,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNS0QiLCJwIjoiMTAwNzUifQ
MLI,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNTEkiLCJwIjoiMTAwNzUifQ
MLT,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNTFQiLCJwIjoiMTAwODgifQ
MMR,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNTVIiLCJwIjoiMTAwNzUifQ
MNE,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNTkUiLCJwIjoiMTAwNzUifQ
MNG,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNTkciLCJwIjoiMTAwNzUifQ
MOZ,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNT1oiLCJwIjoiMTAwNzUifQ
MRT,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNUlQiLCJwIjoiMTAwNzUifQ
MSR,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNU1IiLCJwIjoiMTAwNzUifQ
MUS,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNVVMiLCJwIjoiMTAwODgifQ
MWI,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNV0kiLCJwIjoiMTAwNzUifQ
MYS,29.9,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJNWVMiLCJwIjoiMTAxMDgifQ
NAM,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJOQU0iLCJwIjoiMTAwNzUifQ
NER,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJORVIiLCJwIjoiMTAwNzUifQ
NGA,9900.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJOR0EiLCJwIjoiMTAxOTQifQ
NIC,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJOSUMiLCJwIjoiMTAwNzUifQ
NLD,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJOTEQiLCJwIjoiMTAwODgifQ
NOR,79.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJOT1IiLCJwIjoiMTAwNzcifQ
NPL,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJOUEwiLCJwIjoiMTAwODgifQ
NRU,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJOUlUiLCJwIjoiMTAwNzUifQ
NZL,9.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJOWkwiLCJwIjoiMTAxMjYifQ
OMN,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJPTU4iLCJwIjoiMTAwNzUifQ
PAK,1700.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQQUsiLCJwIjoiMTAxODMifQ
PAN,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQQU4iLCJwIjoiMTAwNzUifQ
PER,24.9,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQRVIiLCJwIjoiMTAwOTcifQ
