territory,price,price_point_id
PRT,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQUlQiLCJwIjoiMTAwNDkifQ
PRY,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQUlkiLCJwIjoiMTAwNDkifQ
QAT,14.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJRQVQiLCJwIjoiMTAwNDkifQ
ROU,19.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJST1UiLCJwIjoiMTAwNjAifQ
RUS,349.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJSVVMiLCJwIjoiMTAxMDEifQ
RWA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJSV0EiLCJwIjoiMTAwNDkifQ
SAU,17.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTQVUiLCJwIjoiMTAwNTkifQ
SEN,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTRU4iLCJwIjoiMTAwNjIifQ
SGP,5.98,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTR1AiLCJwIjoiMTAwNzgifQ
SLB,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTTEIiLCJwIjoiMTAwNDkifQ
SLE,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTTEUiLCJwIjoiMTAwNDkifQ
SLV,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTTFYiLCJwIjoiMTAwNDkifQ
SRB,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTUkIiLCJwIjoiMTAwNDkifQ
STP,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTVFAiLCJwIjoiMTAwNDkifQ
SUR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTVVIiLCJwIjoiMTAwNDkifQ
SVK,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTVksiLCJwIjoiMTAwNDkifQ
SVN,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTVk4iLCJwIjoiMTAwNDkifQ
SWE,49.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTV0UiLCJwIjoiMTAwNDcifQ
SWZ,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTV1oiLCJwIjoiMTAwNDkifQ
SYC,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJTWUMiLCJwIjoiMTAwNDkifQ
TCA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUQ0EiLCJwIjoiMTAwNDkifQ
TCD,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUQ0QiLCJwIjoiMTAwNDkifQ
THA,149.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUSEEiLCJwIjoiMTAwNDQifQ
TJK,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUSksiLCJwIjoiMTAwNDkifQ
TKM,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUS00iLCJwIjoiMTAwNDkifQ
TON,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUT04iLCJwIjoiMTAwNDkifQ
TTO,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUVE8iLCJwIjoiMTAwNDkifQ
TUN,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUVU4iLCJwIjoiMTAwNDkifQ
TUR,199.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUVVIiLCJwIjoiMTAyMDAifQ
TWN,120,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUV04iLCJwIjoiMTAwMzUifQ
TZA,11900.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJUWkEiLCJwIjoiMTAxMTUifQ
UGA,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJVR0EiLCJwIjoiMTAwNjIifQ
